2025-08-27 02:02:25 | INFO | [TEST] test_module: Testing action logger integration | Reasoning: Verifying that the action logging system works correctly | Outcome: Success
2025-08-27 05:04:11 | ERROR | [SERVER_MGMT] server_manager: start webui | Reasoning: Exception occurred while starting service: name 'shlex' is not defined | Outcome: Failed - Exception: NameError
2025-08-27 05:04:11 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-08-27 05:04:11 | ERROR | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Exception occurred while starting service: name 'shlex' is not defined | Outcome: Failed - Exception: NameError
2025-08-27 05:04:11 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 05:05:22 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 05:05:23 | ERROR | [AI_ROUTING] ai_router_gpt: Router exception: AttributeError | Reasoning: Unexpected error during routing: 'int' object has no attribute 'get' | Outcome: Error
2025-08-27 16:31:18 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 16:31:25 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-08-27 16:31:25 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-08-27 16:31:29 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-08-27 16:31:29 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-08-27 16:31:29 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-08-27 16:31:33 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-08-27 16:31:33 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Starting Jupyter Notebook Server on port 8889 as requested by AI or user | Outcome: Starting...
2025-08-27 16:31:33 | ERROR | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Exception occurred while starting service: [WinError 2] The system cannot find the file specified | Outcome: Failed - Exception: FileNotFoundError
2025-08-27 16:31:33 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Starting DuckBot Professional WebUI on port 8787 as requested by AI or user | Outcome: Starting...
2025-08-27 16:31:37 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 16:31:37 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Successfully started DuckBot Professional WebUI and verified it's listening on port 8787 | Outcome: Success - Running on port 8787
2025-08-27 16:31:37 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-08-27 16:31:41 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Successfully started DuckBot Discord Bot with PID 26820 | Outcome: Success - Running with PID 26820
2025-08-27 16:31:41 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.95 | Outcome: Success: 0.95
2025-08-27 17:55:44 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 17:55:55 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Starting LM Studio Server on port 1234 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:00 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:04 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-08-27 17:56:04 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Starting n8n Workflow Automation on port 5678 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:08 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Successfully started n8n Workflow Automation and verified it's listening on port 5678 | Outcome: Success - Running on port 5678
2025-08-27 17:56:08 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:12 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-08-27 17:56:12 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Starting Jupyter Notebook Server on port 8889 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:12 | ERROR | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Exception occurred while starting service: [WinError 2] The system cannot find the file specified | Outcome: Failed - Exception: FileNotFoundError
2025-08-27 17:56:12 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Starting DuckBot Professional WebUI on port 8787 as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:15 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 17:56:16 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Successfully started DuckBot Professional WebUI and verified it's listening on port 8787 | Outcome: Success - Running on port 8787
2025-08-27 17:56:16 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-08-27 17:56:20 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Successfully started DuckBot Discord Bot with PID 2120 | Outcome: Success - Running with PID 2120
2025-08-27 17:56:20 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.95 | Outcome: Success: 0.95
2025-08-27 20:24:06 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 20:24:13 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 20:41:49 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 20:42:13 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 21:01:41 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 21:02:05 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 21:04:33 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 21:04:40 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 22:05:53 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 22:06:19 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-27 23:56:27 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:06:14 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:07:24 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:07:25 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:08:18 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:11:11 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:11:26 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:16:01 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:29:37 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 00:30:01 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 01:08:26 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 02:43:31 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:15:32 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:15:48 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:30:52 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:30:52 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:32:32 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:32:36 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Starting ComfyUI Image Generation on port 8188 as requested by AI or user | Outcome: Starting...
2025-08-28 04:32:40 | ERROR | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Process started but service is not responding on expected port 8188 | Outcome: Failed - Not responding
2025-08-28 04:32:40 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.95 | Outcome: Success: 0.95
2025-08-28 04:33:05 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:05 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:17 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:18 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:37 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:37 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:55 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 04:33:55 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 13:59:17 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 13:59:40 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 22:53:34 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 22:54:07 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to local | Reasoning: Selected local after 0 attempts. Bucket: chat, Confidence: 0.80 | Outcome: Success: 0.80
2025-08-28 22:54:32 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 22:54:34 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 22:56:02 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 22:56:03 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:10:31 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:10:43 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:26:23 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:26:39 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:31:34 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:31:58 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:42:00 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:42:24 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:55:49 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:55:50 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:56:20 | INFO | [SERVER_MGMT] server_manager: start lm_studio | Reasoning: Service LM Studio Server was already running on port 1234 | Outcome: Success - Already running
2025-08-28 23:56:20 | INFO | [SERVER_MGMT] server_manager: start comfyui | Reasoning: Service ComfyUI Image Generation was already running on port 8188 | Outcome: Success - Already running
2025-08-28 23:56:20 | INFO | [SERVER_MGMT] server_manager: start n8n | Reasoning: Service n8n Workflow Automation was already running on port 5678 | Outcome: Success - Already running
2025-08-28 23:56:20 | INFO | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Starting Open Notebook AI Interface on port 8502 as requested by AI or user | Outcome: Starting...
2025-08-28 23:56:24 | ERROR | [SERVER_MGMT] server_manager: start open_notebook | Reasoning: Process started but service is not responding on expected port 8502 | Outcome: Failed - Not responding
2025-08-28 23:56:24 | INFO | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Starting Jupyter Notebook Server on port 8889 as requested by AI or user | Outcome: Starting...
2025-08-28 23:56:24 | ERROR | [SERVER_MGMT] server_manager: start jupyter | Reasoning: Exception occurred while starting service: [WinError 2] The system cannot find the file specified | Outcome: Failed - Exception: FileNotFoundError
2025-08-28 23:56:24 | INFO | [SERVER_MGMT] server_manager: start webui | Reasoning: Service DuckBot Professional WebUI was already running on port 8787 | Outcome: Success - Already running
2025-08-28 23:56:24 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Starting DuckBot Discord Bot on port None as requested by AI or user | Outcome: Starting...
2025-08-28 23:56:28 | INFO | [SERVER_MGMT] server_manager: start discord_bot | Reasoning: Successfully started DuckBot Discord Bot with PID 26084 | Outcome: Success - Running with PID 26084
2025-08-28 23:56:28 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.95 | Outcome: Success: 0.95
2025-08-28 23:56:28 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-28 23:58:29 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-08-29 02:22:03 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: chat, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-03 11:52:49 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-03 11:53:05 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 02:58:21 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 03:15:38 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 03:28:42 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 03:42:40 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:04:39 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:09:11 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
2025-09-07 13:12:58 | INFO | [AI_ROUTING] ai_router_gpt: Routed request to qwen-server-manager (qwen) | Reasoning: Selected qwen-server-manager (qwen) after 0 attempts. Bucket: background, Confidence: 0.90 | Outcome: Success: 0.90
